Ref_Date,GEO,Value
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",F
2010,"Bay Roberts, Newfoundland and Labrador",F
2011,"Bay Roberts, Newfoundland and Labrador",F
2012,"Bay Roberts, Newfoundland and Labrador",F
2013,"Bay Roberts, Newfoundland and Labrador",F
2009,"Bay Roberts, Newfoundland and Labrador",437
2010,"Bay Roberts, Newfoundland and Labrador",493
2011,"Bay Roberts, Newfoundland and Labrador",561
2012,"Bay Roberts, Newfoundland and Labrador",563
2013,"Bay Roberts, Newfoundland and Labrador",603
2009,"Bay Roberts, Newfoundland and Labrador",F
2010,"Bay Roberts, Newfoundland and Labrador",F
2011,"Bay Roberts, Newfoundland and Labrador",F
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",F
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",F
2010,"Bay Roberts, Newfoundland and Labrador",F
2011,"Bay Roberts, Newfoundland and Labrador",F
2012,"Bay Roberts, Newfoundland and Labrador",F
2013,"Bay Roberts, Newfoundland and Labrador",F
2009,"Bay Roberts, Newfoundland and Labrador",437
2010,"Bay Roberts, Newfoundland and Labrador",493
2011,"Bay Roberts, Newfoundland and Labrador",561
2012,"Bay Roberts, Newfoundland and Labrador",563
2013,"Bay Roberts, Newfoundland and Labrador",593
2009,"Bay Roberts, Newfoundland and Labrador",F
2010,"Bay Roberts, Newfoundland and Labrador",F
2011,"Bay Roberts, Newfoundland and Labrador",F
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Bay Roberts, Newfoundland and Labrador",F
2010,"Bay Roberts, Newfoundland and Labrador",F
2011,"Bay Roberts, Newfoundland and Labrador",F
2012,"Bay Roberts, Newfoundland and Labrador",F
2013,"Bay Roberts, Newfoundland and Labrador",F
2009,"Bay Roberts, Newfoundland and Labrador",F
2010,"Bay Roberts, Newfoundland and Labrador",F
2011,"Bay Roberts, Newfoundland and Labrador",F
2012,"Bay Roberts, Newfoundland and Labrador",F
2013,"Bay Roberts, Newfoundland and Labrador",F
2009,"Bay Roberts, Newfoundland and Labrador",..
2010,"Bay Roberts, Newfoundland and Labrador",..
2011,"Bay Roberts, Newfoundland and Labrador",..
2012,"Bay Roberts, Newfoundland and Labrador",..
2013,"Bay Roberts, Newfoundland and Labrador",..
2009,"Corner Brook, Newfoundland and Labrador",439
2010,"Corner Brook, Newfoundland and Labrador",435
2011,"Corner Brook, Newfoundland and Labrador",423
2012,"Corner Brook, Newfoundland and Labrador",439
2013,"Corner Brook, Newfoundland and Labrador",462
2009,"Corner Brook, Newfoundland and Labrador",464
2010,"Corner Brook, Newfoundland and Labrador",483
2011,"Corner Brook, Newfoundland and Labrador",503
2012,"Corner Brook, Newfoundland and Labrador",521
2013,"Corner Brook, Newfoundland and Labrador",551
2009,"Corner Brook, Newfoundland and Labrador",547
2010,"Corner Brook, Newfoundland and Labrador",558
2011,"Corner Brook, Newfoundland and Labrador",584
2012,"Corner Brook, Newfoundland and Labrador",610
2013,"Corner Brook, Newfoundland and Labrador",705
2009,"Corner Brook, Newfoundland and Labrador",626
2010,"Corner Brook, Newfoundland and Labrador",655
2011,"Corner Brook, Newfoundland and Labrador",734
2012,"Corner Brook, Newfoundland and Labrador",738
2013,"Corner Brook, Newfoundland and Labrador",795
2009,"Corner Brook, Newfoundland and Labrador",..
2010,"Corner Brook, Newfoundland and Labrador",..
2011,"Corner Brook, Newfoundland and Labrador",..
2012,"Corner Brook, Newfoundland and Labrador",..
2013,"Corner Brook, Newfoundland and Labrador",..
2009,"Corner Brook, Newfoundland and Labrador",F
2010,"Corner Brook, Newfoundland and Labrador",F
2011,"Corner Brook, Newfoundland and Labrador",F
2012,"Corner Brook, Newfoundland and Labrador",F
2013,"Corner Brook, Newfoundland and Labrador",F
2009,"Corner Brook, Newfoundland and Labrador",F
2010,"Corner Brook, Newfoundland and Labrador",F
2011,"Corner Brook, Newfoundland and Labrador",F
2012,"Corner Brook, Newfoundland and Labrador",F
2013,"Corner Brook, Newfoundland and Labrador",F
2009,"Corner Brook, Newfoundland and Labrador",F
2010,"Corner Brook, Newfoundland and Labrador",F
2011,"Corner Brook, Newfoundland and Labrador",F
2012,"Corner Brook, Newfoundland and Labrador",F
2013,"Corner Brook, Newfoundland and Labrador",F
2009,"Corner Brook, Newfoundland and Labrador",439
2010,"Corner Brook, Newfoundland and Labrador",435
2011,"Corner Brook, Newfoundland and Labrador",423
2012,"Corner Brook, Newfoundland and Labrador",439
2013,"Corner Brook, Newfoundland and Labrador",462
2009,"Corner Brook, Newfoundland and Labrador",468
2010,"Corner Brook, Newfoundland and Labrador",486
2011,"Corner Brook, Newfoundland and Labrador",507
2012,"Corner Brook, Newfoundland and Labrador",527
2013,"Corner Brook, Newfoundland and Labrador",556
2009,"Corner Brook, Newfoundland and Labrador",547
2010,"Corner Brook, Newfoundland and Labrador",558
2011,"Corner Brook, Newfoundland and Labrador",584
2012,"Corner Brook, Newfoundland and Labrador",610
2013,"Corner Brook, Newfoundland and Labrador",706
2009,"Corner Brook, Newfoundland and Labrador",627
2010,"Corner Brook, Newfoundland and Labrador",656
2011,"Corner Brook, Newfoundland and Labrador",737
2012,"Corner Brook, Newfoundland and Labrador",740
2013,"Corner Brook, Newfoundland and Labrador",798
2009,"Corner Brook, Newfoundland and Labrador",432
2010,"Corner Brook, Newfoundland and Labrador",434
2011,"Corner Brook, Newfoundland and Labrador",422
2012,"Corner Brook, Newfoundland and Labrador",436
2013,"Corner Brook, Newfoundland and Labrador",451
2009,"Corner Brook, Newfoundland and Labrador",488
2010,"Corner Brook, Newfoundland and Labrador",516
2011,"Corner Brook, Newfoundland and Labrador",552
2012,"Corner Brook, Newfoundland and Labrador",569
2013,"Corner Brook, Newfoundland and Labrador",607
2009,"Corner Brook, Newfoundland and Labrador",554
2010,"Corner Brook, Newfoundland and Labrador",564
2011,"Corner Brook, Newfoundland and Labrador",594
2012,"Corner Brook, Newfoundland and Labrador",621
2013,"Corner Brook, Newfoundland and Labrador",740
2009,"Corner Brook, Newfoundland and Labrador",F
2010,"Corner Brook, Newfoundland and Labrador",658
2011,"Corner Brook, Newfoundland and Labrador",752
2012,"Corner Brook, Newfoundland and Labrador",744
2013,"Corner Brook, Newfoundland and Labrador",800
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",F
2013,"Gander, Newfoundland and Labrador",F
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",533
2013,"Gander, Newfoundland and Labrador",567
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",642
2013,"Gander, Newfoundland and Labrador",680
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",684
2013,"Gander, Newfoundland and Labrador",696
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",..
2013,"Gander, Newfoundland and Labrador",..
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",..
2013,"Gander, Newfoundland and Labrador",..
